MiniDOT Logger Concatenated Data File,,,,,,,
Sensor:             7450-540235,,,,,,,
Concatenation Date: 2023Jun13 11:05:23 GMT-08:00,,,,,,,
,,,,,,,
DO concentration compensated for salinity: 0.0 (ppt),,,,,,,
Saturation computed at elevation: 0.0 (meter),,,,,,,
,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,                     GMT-08:00,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
1680048180,           2023-03-29 00:03:00,           2023-03-28 16:03:00,3.46,13.189,10.339,98.538899,0.929
1680048480,           2023-03-29 00:08:00,           2023-03-28 16:08:00,3.46,13.18,10.346,98.585847,0.929
1680048780,           2023-03-29 00:13:00,           2023-03-28 16:13:00,3.46,13.18,10.329,98.423856,0.929
1680049080,           2023-03-29 00:18:00,           2023-03-28 16:18:00,3.46,13.171,10.333,98.44223,0.929
1680049380,           2023-03-29 00:23:00,           2023-03-28 16:23:00,3.46,13.18,10.334,98.471501,0.929
1680049680,           2023-03-29 00:28:00,           2023-03-28 16:28:00,3.46,13.163,10.343,98.519935,0.929
1680049980,           2023-03-29 00:33:00,           2023-03-28 16:33:00,3.46,13.163,10.335,98.443733,0.928
1680050280,           2023-03-29 00:38:00,           2023-03-28 16:38:00,3.47,13.145,10.348,98.528025,0.929
1680050580,           2023-03-29 00:43:00,           2023-03-28 16:43:00,3.46,13.145,10.345,98.49946,0.929
1680050880,           2023-03-29 00:48:00,           2023-03-28 16:48:00,3.47,13.136,10.344,98.470179,0.929
1680051180,           2023-03-29 00:53:00,           2023-03-28 16:53:00,3.47,13.127,10.356,98.564632,0.929
1680051480,           2023-03-29 00:58:00,           2023-03-28 16:58:00,3.47,13.127,10.341,98.421868,0.929
1680051780,           2023-03-29 01:03:00,           2023-03-28 17:03:00,3.47,13.119,10.346,98.45189,0.929
1680052080,           2023-03-29 01:08:00,           2023-03-28 17:08:00,3.47,13.136,10.351,98.536816,0.929
1680052380,           2023-03-29 01:13:00,           2023-03-28 17:13:00,3.47,13.136,10.348,98.508257,0.929
1680052680,           2023-03-29 01:18:00,           2023-03-28 17:18:00,3.47,13.101,10.375,98.68822,0.93
1680052980,           2023-03-29 01:23:00,           2023-03-28 17:23:00,3.47,13.119,10.352,98.508985,0.929
1680053280,           2023-03-29 01:28:00,           2023-03-28 17:28:00,3.47,13.092,10.35,98.43065,0.929
1680053580,           2023-03-29 01:33:00,           2023-03-28 17:33:00,3.47,13.119,10.34,98.394794,0.928
