DOPLogNumber,Project,Year,Month,SerialNumber,Date,Station,Region,Species,Time,Depth,SurfaceTemperature,SurfaceConductivity,SurfacePPT,BottomTemperature,BottomConductivity,BottomPPT,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,TotalNumberofPrey,TotalPreyWeight,Gut Fullness,FullnessRank,DigestionRank,Acanthocyclops spp,Acartiella copepodid,Acartiella sinensis,Barnacle nauplii,Bosmina spp,Calanoid copepodid,Ceriodaphnia spp,Chironomid larvae,Clams,Copepod nauplii,Corophium type,Crab zoea,Cumaceans,Cyclopoid copepodid,Daphnia spp,Diacyclops spp,Diaphanosoma spp,Diaptomus copepodid,Diaptomus spp,Eucyclops spp,Eurytemora copepodid,Eurytemora nauplii,Eurytemora spp,Gammarus type,Harpacticoids,Hyperacanthomysis longirostris,Isopods,Limnoithona copepodid,Limnoithona spp,Nippoleucon hinumensis,Oithona davisae,Osphranticum,Ostracods,Other cladocera,Other cyclopoid,Other malacostraca,Other rotifer,Other zooplankton,Palaemon,Prickly Sculpin,Pseudodiaptomus copepodid,Pseudodiaptomus forbesi,Pseudodiaptomus marinus,Pseudodiaptomus nauplii,Pseudodiaptomus spp,Sinocalanus copepodid,Sinocalanus nauplii,Sinocalanus spp,Terrestrial invertebrates,Tortanus copepodid,Tortanus dextrilobatus,Tortanus spp,Tridentiger spp,Unid amphipod,Unid calanoid,Unid cladocera,Unid copepod,Unid cumacean,Unid cyclopoid,Unid fish,Unid mysids
11,EDSM,2017,9,11,9/18/2017 0:00,18-08-LSR01,Lower Sacramento,delta smelt,12/30/1899 9:45:00,,20.89,159.1,0.06,,,,57.99,16.2,0.71,y,47,,18,7.82E-04,0.1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,EDSM,2017,9,12,9/18/2017 0:00,18-08-LSR01,Lower Sacramento,delta smelt,12/30/1899 10:13:00,,20.89,182.19,0.07,,,,56,19.79,1.06,y,55,,31,1.70E-03,0.15,3,3,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,EDSM,2017,9,13,9/18/2017 0:00,18-08-LSR01,Lower Sacramento,delta smelt,12/30/1899 10:13:00,,20.89,182.19,0.07,,,,56,19.79,1.02,y,57,,4,2.20E-04,0.02,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,EDSM,2017,9,14,9/18/2017 0:00,18-08-LSR01,Lower Sacramento,delta smelt,12/30/1899 10:13:00,,20.89,182.19,0.07,,,,56,19.79,0.95,y,53,,41,2.11E-03,0.22,2,3,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,EDSM,2017,9,15,9/18/2017 0:00,18-08-LSR01,Lower Sacramento,delta smelt,12/30/1899 10:13:00,,20.89,182.19,0.07,,,,56,19.79,0.64,y,46,,3,1.65E-04,0.02,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,EDSM,2017,9,16,9/18/2017 0:00,18-08-LSR01,Lower Sacramento,delta smelt,12/30/1899 10:13:00,,20.89,182.19,0.07,,,,56,19.79,0.7,y,51,,2,1.10E-04,0.01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,EDSM,2017,9,17,9/18/2017 0:00,18-08-LSR01,Lower Sacramento,delta smelt,12/30/1899 10:13:00,,20.89,182.19,0.07,,,,56,19.79,0.65,y,45,8.37E-03,6,6.17E-04,0.09,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,EDSM,2017,9,18,9/18/2017 0:00,18-08-LSR01,Lower Sacramento,delta smelt,12/30/1899 10:13:00,,20.89,182.19,0.07,,,,56,19.79,1.21,y,55,,2,1.10E-04,9.06E-03,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,EDSM,2017,9,19,9/18/2017 0:00,18-08-LSR01,Lower Sacramento,delta smelt,12/30/1899 10:13:00,,20.89,182.19,0.07,,,,56,19.79,0.48,n,40,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,EDSM,2017,9,20,9/18/2017 0:00,18-08-LSR01,Lower Sacramento,delta smelt,12/30/1899 10:13:00,,20.89,182.19,0.07,,,,56,19.79,0.78,y,47,,24,1.09E-03,0.13,2,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
